#{"t_start": 1651386652.2053783, "env_id": "cruise-ctrl-v0"}
2.621607,101,278.041848
1.344303,101,278.620787
3.278462,101,279.20179
2.289936,101,279.785135
2.481319,101,280.366991
2.290583,101,280.968107
2.360011,101,281.550106
2.931651,101,282.152615
-27.954913,101,282.770079
-18.558464,101,283.384444
1.277208,101,283.987458
2.238367,101,284.583482
3.256072,101,285.176629
2.973917,101,285.767049
2.10049,101,286.365807
1.846162,101,286.966597
2.180777,101,287.549787
1.004187,101,288.150909
1.592781,101,288.739998
1.643699,101,289.3433
1.778105,101,289.93178
2.628081,101,290.522392
1.983878,101,291.111515
2.344687,101,291.704234
2.720177,101,292.320204
1.737485,101,292.921637
1.919881,101,293.517449
2.407573,101,294.112304
-37.826005,101,294.711196
-8.436029,6,294.747381
-7.297303,9,294.801587
-17.882503,9,294.855193
1.252413,101,295.463384
2.0149,101,296.060364
1.941167,101,296.682673
2.280999,101,297.299915
-7.939166,7,297.340822
2.164918,101,297.945776
1.76334,101,298.54731
2.417602,101,299.13607
2.409712,101,299.736472
2.402311,101,300.34089
2.54466,101,300.949055
1.445892,101,301.5434
1.687952,101,302.1329
1.596314,101,302.725919
2.349245,101,303.318495
2.292259,101,303.91518
1.342215,101,304.509838
1.839907,101,305.093508
2.023346,101,305.672815
1.846572,101,306.252206
1.300434,101,306.837127
1.964287,101,307.416949
1.691302,101,308.00666
2.0807,101,308.60039
2.274227,101,309.195621
2.238711,101,309.77952
2.343749,101,310.370098
3.016136,101,310.957539
2.072163,101,311.540337
2.608449,101,312.13466
2.834489,101,312.737601
-8.157976,6,312.775625
-7.444729,9,312.831676
2.234255,101,313.434332
-19.006823,6,313.47244
2.722561,101,314.086105
2.848876,101,314.682337
3.045682,101,315.262285
1.813106,101,315.843539
1.555949,101,316.438889
2.526769,101,317.019162
2.60802,101,317.600955
2.920258,101,318.182282
1.762107,101,318.763893
1.091053,101,319.345731
2.127431,101,319.934091
1.892525,101,320.524683
1.941252,101,321.10616
2.260418,101,321.68931
-8.14889,7,321.730063
2.183231,101,322.315032
2.723622,101,322.895912
1.453244,101,323.493314
2.165067,101,324.078614
3.166369,101,324.661353
2.281927,101,325.256383
2.15257,101,325.86039
-8.078493,6,325.895691
1.708573,101,326.483319
1.64716,101,327.079796
2.927959,101,327.680178
2.683678,101,328.269937
1.840763,101,328.854901
1.06437,101,329.444404
2.29512,101,330.033987
2.71261,101,330.618117
1.970537,101,331.211289
1.640573,101,331.795685
2.853791,101,332.381282
1.543817,101,332.968132
1.68513,101,333.563833
2.524135,101,334.152859
1.590715,101,334.737567
2.129256,101,335.321075
2.88948,101,335.905244
2.632148,101,336.510444
1.960334,101,337.10974
-7.435559,9,337.163567
1.625354,101,337.762055
-8.569604,4,337.786245
1.69942,101,338.379087
2.494079,101,338.963125
2.069649,101,339.549747
0.871571,101,340.147375
1.888157,101,340.737171
-7.769881,6,340.773364
1.447782,101,341.360029
2.494209,101,341.945596
1.515331,101,342.531698
2.880657,101,343.115989
1.815987,101,343.701846
1.338616,101,344.295031
1.515586,101,344.890563
2.502028,101,345.488006
1.744716,101,346.088305
2.821645,101,346.676943
2.111867,101,347.271277
2.544627,101,347.869561
2.407272,101,348.45444
2.038318,101,349.038964
2.23315,101,349.623248
1.783363,101,350.234356
1.432933,101,350.840106
2.422243,101,351.428532
1.71805,101,352.016885
2.493386,101,352.612772
2.49858,101,353.212889
2.185024,101,353.816316
2.094097,101,354.41122
-8.201431,7,354.454707
2.850927,101,355.046813
1.65157,101,355.659271
1.966608,101,356.25383
1.6063,101,356.85628
2.086171,101,357.465298
1.915004,101,358.066447
1.881991,101,358.672557
1.463674,101,359.262217
1.773489,101,359.849926
2.131128,101,360.434754
2.657382,101,361.020283
2.860962,101,361.605853
2.154197,101,362.193882
2.438666,101,362.776661
2.882707,101,363.363785
2.268984,101,363.948378
2.923982,101,364.530549
2.281629,101,365.114968
1.820097,101,365.698341
2.559082,101,366.282099
1.782998,101,366.86583
2.239254,101,367.450529
1.58337,101,368.034372
2.192293,101,368.618329
3.083534,101,369.211918
2.187173,101,369.794502
1.284797,101,370.380935
2.573352,101,370.96373
2.590822,101,371.547245
2.942788,101,372.130973
1.517078,101,372.71401
2.229327,101,373.296136
2.069044,101,373.88363
2.523343,101,374.476751
2.21148,101,375.078189
1.958416,101,375.676843
2.841515,101,376.27352
1.594179,101,376.870614
3.09753,101,377.460608
1.378138,101,378.062755
-7.611567,5,378.092964
2.279822,101,378.679116
1.694451,101,379.272177
3.144345,101,379.886888
2.58921,101,380.483795
2.537675,101,381.083565
1.432026,101,381.673853
-18.412488,7,381.715071
2.688839,101,382.308789
2.346021,101,382.917567
-37.405493,101,383.492804
3.238053,101,384.07476
0.926174,101,384.663458
2.253953,101,385.254563
1.727348,101,385.83721
2.004043,101,386.428722
2.181823,101,387.021145
2.977331,101,387.601992
1.785245,101,388.193214
2.630147,101,388.786787
2.222211,101,389.383152
2.168456,101,389.98018
1.736715,101,390.569042
2.094948,101,391.14968
2.138288,101,391.729409
1.648433,101,392.31464
-8.203272,6,392.351501
2.016131,101,392.938841
2.524232,101,393.524607
2.64305,101,394.117828
2.579449,101,394.712939
3.05371,101,395.31117
3.376135,101,395.918767
1.309532,101,396.521324
1.628626,101,397.124079
1.970057,101,397.743477
1.607422,101,398.35131
2.003693,101,398.95665
1.865408,101,399.540938
2.368186,101,400.142535
2.324148,101,400.747963
1.253816,101,401.345247
1.796608,101,401.943263
-8.719446,5,401.973647
2.586445,101,402.576167
2.228153,101,403.177032
1.625942,101,403.781689
1.77119,101,404.392188
2.189272,101,404.994437
1.696958,101,405.599161
2.006676,101,406.183398
-17.545818,8,406.230026
1.715627,101,406.816406
-8.322267,6,406.853352
1.302754,101,407.439643
1.772512,101,408.023911
2.37627,101,408.635066
2.295934,101,409.229357
1.971938,101,409.841801
2.071995,101,410.446172
2.242126,101,411.042726
2.255938,101,411.639478
-18.345594,8,411.687984
1.812576,101,412.280918
1.334187,101,412.880952
2.238392,101,413.484084
1.563293,101,414.081415
2.21292,101,414.665753
2.54324,101,415.250418
-18.719753,5,415.279677
1.630169,101,415.865423
1.264134,101,416.45207
2.158352,101,417.033937
2.157793,101,417.615902
2.496968,101,418.199058
2.586696,101,418.784456
3.174672,101,419.367295
-8.129199,5,419.396746
2.011923,101,419.985394
2.657607,101,420.570282
2.206284,101,421.150265
2.406761,101,421.729371
1.91186,101,422.312903
1.760892,101,422.913562
1.978236,101,423.506553
-8.157274,6,423.541653
2.660415,101,424.13957
2.79556,101,424.733887
2.076244,101,425.317572
1.440082,101,425.912554
1.496622,101,426.517565
1.627825,101,427.129587
2.739434,101,427.732079
2.874049,101,428.326602
1.733636,101,428.927757
2.708146,101,429.5294
1.833981,101,430.115903
2.718554,101,430.701695
1.794759,101,431.297103
2.781686,101,431.879357
1.6167,101,432.463156
-18.501902,6,432.499945
-17.571685,7,432.543251
1.997076,101,433.126747
3.0174,101,433.726754
2.259871,101,434.308002
2.483894,101,434.90179
2.088638,101,435.500782
2.500638,101,436.082787
2.140267,101,436.663591
2.87879,101,437.257442
2.172188,101,437.842183
2.32313,101,438.423172
2.223824,101,439.005021
1.499986,101,439.593898
2.395339,101,440.187824
1.909325,101,440.786633
2.523147,101,441.369446
2.040601,101,441.951433
1.51003,101,442.533633
2.183468,101,443.126239
2.264387,101,443.73411
2.508109,101,444.336148
2.656152,101,444.940282
2.214222,101,445.538436
-7.74848,7,445.580081
2.569505,101,446.182524
2.92172,101,446.779407
-17.946365,8,446.830261
2.52546,101,447.441216
-18.555346,5,447.472931
1.82752,101,448.072451
2.83212,101,448.669167
2.741374,101,449.261084
2.226472,101,449.876334
1.967971,101,450.477693
2.345748,101,451.087092
1.21405,101,451.696432
1.685255,101,452.280933
1.649715,101,452.866251
2.48968,101,453.466113
2.21931,101,454.096034
2.220999,101,454.686889
2.413308,101,455.282545
2.523541,101,455.872697
2.952216,101,456.466797
1.283693,101,457.0525
1.842834,101,457.646228
1.730099,101,458.230435
2.415235,101,458.823882
-17.11091,10,458.884508
1.254235,101,459.491421
2.950055,101,460.078894
2.459507,101,460.665351
2.095029,101,461.254134
1.774346,101,461.842914
2.49577,101,462.429824
2.154235,101,463.016412
2.649481,101,463.606149
2.843019,101,464.192526
-8.008579,7,464.235155
2.580104,101,464.821181
2.631748,101,465.409709
2.714848,101,465.999779
-18.130537,7,466.042442
2.546706,101,466.630235
1.691498,101,467.215816
2.057489,101,467.800483
1.579427,101,468.384676
2.256287,101,468.974644
1.636272,101,469.560936
1.977735,101,470.158335
1.832267,101,470.744296
2.324329,101,471.340983
1.874692,101,471.924447
1.733978,101,472.511253
2.218423,101,473.096282
3.070396,101,473.680747
1.822047,101,474.267393
2.186114,101,474.85637
-17.998716,7,474.897651
2.74134,101,475.482906
2.627159,101,476.068362
-18.344587,8,476.115618
1.675862,101,476.701536
2.289636,101,477.286226
1.803742,101,477.871673
1.996188,101,478.456537
2.325079,101,479.041309
-17.743513,8,479.088634
2.218641,101,479.673512
2.61465,101,480.257334
3.355561,101,480.844543
2.023949,101,481.430475
2.564206,101,482.015494
2.110647,101,482.600069
2.272138,101,483.185093
3.394635,101,483.769919
2.89876,101,484.35509
-8.729272,101,484.969215
2.957327,101,485.563248
2.209373,101,486.149982
1.437306,101,486.750824
2.30449,101,487.33725
2.329484,101,487.920972
1.466738,101,488.503598
2.448309,101,489.087035
2.049049,101,489.670495
1.698841,101,490.253927
1.48273,101,490.83758
2.08731,101,491.421563
2.127504,101,492.005438
2.750644,101,492.592545
1.665928,101,493.176149
1.686809,101,493.761635
1.904617,101,494.344764
-8.221929,6,494.380003
2.35809,101,494.972806
2.450334,101,495.557415
2.9679,101,496.142299
1.462051,101,496.726218
2.58846,101,497.310959
1.445675,101,497.896265
2.222856,101,498.483924
2.061898,101,499.069373
2.694479,101,499.655186
2.128941,101,500.246391
3.039655,101,500.836031
2.826059,101,501.464863
1.953415,101,502.073152
1.940681,101,502.717217
2.396442,101,503.326173
2.823134,101,503.923119
2.308782,101,504.508152
2.611127,101,505.096719
2.98434,101,505.678577
1.460373,101,506.260892
1.737022,101,506.842986
2.668145,101,507.42381
2.458213,101,508.005504
1.591392,101,508.587396
2.330147,101,509.16972
1.252647,101,509.757936
1.506103,101,510.344594
2.553382,101,510.93009
2.0676,101,511.51693
2.411343,101,512.104538
1.749528,101,512.68617
2.40983,101,513.267218
2.284324,101,513.849563
1.619808,101,514.432919
1.611394,101,515.015636
2.120076,101,515.601623
1.834066,101,516.201609
2.394673,101,516.804713
-8.002805,7,516.845984
1.464016,101,517.430864
2.454699,101,518.021419
-27.818962,101,518.608831
1.8247,101,519.208322
1.875055,101,519.814342
2.055379,101,520.437222
1.902497,101,521.052382
2.114405,101,521.653163
2.444456,101,522.246182
1.826312,101,522.835791
1.571774,101,523.447083
2.876182,101,524.06612
1.33309,101,524.666891
2.188965,101,525.261324
1.718279,101,525.850413
3.373511,101,526.439838
1.357709,101,527.028524
2.959073,101,527.616702
1.716071,101,528.201374
3.07206,101,528.786383
1.647024,101,529.368774
2.096154,101,529.952986
2.279977,101,530.534431
3.037054,101,531.117015
2.004882,101,531.69871
2.350669,101,532.280111
-48.206497,101,532.862598
-7.793455,8,532.910208
1.439426,101,533.49724
-39.288894,101,534.114238
2.289644,101,534.709506
1.992724,101,535.302071
1.526247,101,535.891128
2.038202,101,536.479816
1.914795,101,537.069371
1.863862,101,537.659106
1.808727,101,538.248132
2.491561,101,538.836794
1.833617,101,539.454175
2.12046,101,540.063843
2.704472,101,540.672464
2.667072,101,541.26948
2.194959,101,541.886151
1.959646,101,542.481391
2.133652,101,543.091586
2.875165,101,543.68905
2.224094,101,544.303779
3.853304,101,544.898134
1.04491,101,545.487137
-8.529837,4,545.510894
2.437205,101,546.117538
1.248555,101,546.714506
2.308667,101,547.307556
1.70633,101,547.903397
2.410907,101,548.504503
2.476449,101,549.095121
2.584942,101,549.679995
2.902686,101,550.290151
2.227153,101,550.884862
2.541938,101,551.47767
1.876128,101,552.081381
1.442294,101,552.681014
1.929816,101,553.298271
1.702811,101,553.908714
1.926638,101,554.524747
2.15492,101,555.140752
2.87432,101,555.731626
2.604299,101,556.321733
3.062716,101,556.915501
2.681721,101,557.500957
1.712144,101,558.085273
-7.703991,7,558.126738
2.307776,101,558.712481
1.523978,101,559.297438
2.371221,101,559.882314
2.680348,101,560.467193
2.957606,101,561.051949
-18.943883,6,561.087844
2.07484,101,561.672649
2.296576,101,562.255884
1.635588,101,562.847182
2.157317,101,563.436314
1.632259,101,564.020669
2.755014,101,564.603643
1.939445,101,565.193872
2.046887,101,565.792006
2.802603,101,566.41317
1.84118,101,567.043543
2.240556,101,567.641038
2.385213,101,568.253435
1.002086,101,568.885011
-18.377459,6,568.921548
2.391842,101,569.517914
-18.273493,7,569.560272
1.681419,101,570.149014
2.555593,101,570.740628
2.180447,101,571.32851
1.414728,101,571.91895
2.588631,101,572.508225
2.675435,101,573.096586
2.412767,101,573.68473
1.947547,101,574.272011
3.13583,101,574.864243
2.445377,101,575.451633
2.216877,101,576.040739
2.127925,101,576.628188
-7.803355,6,576.664187
2.314241,101,577.25215
-17.743913,9,577.307103
1.387292,101,577.89535
2.086254,101,578.482471
1.972857,101,579.071961
2.197511,101,579.659931
-8.170258,7,579.702712
1.762425,101,580.297365
2.447668,101,580.889478
2.035964,101,581.487161
2.595676,101,582.080605
-17.004264,11,582.147168
2.380991,101,582.740738
-18.49964,5,582.7702
2.61791,101,583.363908
2.482858,101,583.95949
1.711105,101,584.553306
2.081343,101,585.151597
1.432678,101,585.744339
2.332337,101,586.346378
1.194657,101,586.954315
1.663809,101,587.557643
1.405005,101,588.160386
2.147262,101,588.758198
2.49221,101,589.357618
-8.778107,4,589.38148
1.85714,101,589.979309
2.5335,101,590.576569
2.131406,101,591.174373
2.403509,101,591.769532
2.488385,101,592.362806
1.949111,101,592.958375
